ID,리뷰어,리뷰날짜,리뷰텍스트
1,0_** ,22.03.14,"고고싱 옷은 늘 가격대비 퀄리티가 좋다고 생각합니다, 자켓도 생각보다 퀄리티있었습니다 다만 옷 상태가 그래도 돈주고 산건데..먼지 투성이에 새상품 아닌 중고장에서 주워온것같은 상태로 배송이 와서 쇼핑한 기분은 안났습니다, 배송 과정에서 옷이 구겨진 정…더보기"
1,le** ,23.11.03,키가 작다보니 큰 자켓은 싫어서 고민을 많이 했어요. 이 제품은 제가 본 자켓중에서도 작은 편인데 가격까지 너무 착해서 믿어도 되나 싶었어요. 입어봤는데 전체적으로 작아서(특히 팔) 안에 두꺼운 옷은 못 입겠더라구요. 그래도 저는 대만족이에요! 핏 괜…더보기
1,jj** ,23.09.13,"허리라인이 있는지 몰랐는데 살짝 허리라인이 있어서 오버핏, 캐쥬얼보다 약간 정장같은 느낌이 있어요. 그래서 쫌 아쉽기는한데 그래도 가격대비 만족해요^^"
1,br** ,22.05.16,"요즘 자켓이 사고싶어져서 여기저기 찾아봤는데 , 체구가 작다보니 입으면 죄다 아빠양복 자켓 크기라 고민하고 있었는데 역시 고고싱 👍🏻 평소에 이 사이트가 저랑 맞는게 많아 자주 시키는데 , 이번에도 배송도 하루만에 오고 !! 그리고 제 체구에 맞는…더보기"
1,es** ,22.04.21,솔직히 재질이 좋다곤 얘기 못하겠지만 이만한 가격에 이런 자켓 구하기는 힘들듯.. 안에 두꺼운 옷 입어도 넉넉할것같아서 좋아요 세모로 떨어지는 끝부분 핏은 쪼끔 아쉬운데 팔 안벌릴땐 또 상관없어짐
2,do** ,23.10.08,"기본 검은 블레이저가 활용도가 좋아서 사고싶어서 이 기회에 구매했습니다!
솔직한 후기는요,
키150 몸무게 40한테 큰 오버핏이어서
캐주얼하게 입기에는 길이가 괜찮고, 저는 쪼금 길이를 줄이려고합니다.
그리고, 정말 얇습니다. 몸을 돌렸을 때 자켓이 …더보기"
2,bg** ,23.10.06,"와... 이 가격에 이 퀄리티 맞아요?
진짜 얇을 것 같고 별 기대 안 했는데 생각보다 퀄리티가 너무 좋아요!!!!
실밥 삐져나온 것도 하나 없고 진짜 다 완벽해요
길이도 160 기준 엉덩이 바로 밑! 딱 좋아용
그리고 얇지도 않아서 가을에 입기 딱 …더보기"
2,yh** ,21.09.26,"재질도 엄청 탄탄하고 요즘같은 일교차 큰 날씨에 입기 딱 좋아요 키168인데 엉덩이 반정도 가려집니다! 소매는 팔이 긴분들은 좀 짧다고 느껴지실 거 같아요! 
저는 딱 괜찮았습니당!! 입었을때 부해보이지도 않고 딱 좋았어용"
2,da** ,23.10.02,정장을 입는 타입은 아닌데 나이를 먹으면서 단정한 자켓이 꼭 필요해져서 구매 하게 됐어요 블랙 불레이저는 워낙 무난템이다보니 요기서 살지 저기서 살지 엄청 고민 했는데 사길 잘 했다고 생각 중이에요! 퀄리티가 괜찮아요
2,rn** ,23.11.01,급하게 필요해서 산 자켓인데 키 156 기준 엉덩이 살짝 가려요 입었을때 단정하고 깔끔해 보이구요!! 손등은 살짝 가리는게 조금 커보이긴 하는데 오버핏 다른 자켓들보단 제 체구에 훨 나아요ㅠ 추천합니다~
